Wert,Betrag / Satz,Betroffene Seite,Flag,Letzte Änderung um,Prüfen bis,Quelle,Rechtsgrundlage §,Rechtsnatur,Rechtsstand
Grundkosten-Verteilung nach m²-Tagen (K2),"Grundkosten Heizung und Warmwasser werden zeitanteilig nach m²-Tagen verteilt, nicht nach Gradtagszahlen. Nenner nM2Tage einschließlich Leerstand.","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__9b.html,"Maßstab: § 7 Abs. 1 S. 5 HeizkostenV (übrige Kosten Wärme nach Wohn-/Nutzfläche oder umbautem Raum) und § 8 Abs. 1 HeizkostenV (übrige Kosten Warmwasser nach Wohn-/Nutzfläche). Zeitanteil: § 9b Abs. 2 HeizkostenV lässt für die übrigen Wärmekosten bei Nutzerwechsel Gradtagszahlen ODER zeitanteilig zu, für Warmwasser nur zeitanteilig — wir nehmen durchgängig zeitanteilig, weil die NK-Engine (Seite 01) denselben Nenner benutzt. § 9b Abs. 2 allein trägt den Flächenmaßstab NICHT; er regelt nur die Aufteilung zwischen Vor- und Nachnutzer.",Konvention,07/2026
MDL-Beträge werden nie nachgerechnet (K14),"Eine hochgeladene Messdienst-Abrechnung wird validiert (Kontrollsumme M3), aber nie neu berechnet. Der ausgewiesene Betrag je Nutzeinheit wird unverändert übernommen.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,,"keine — Produkt- und Haftungsentscheidung. Lokara hat keine Rechtsposition, eine Messdienst-Abrechnung zu überstimmen; zwei konkurrierende Zahlen für denselben Mieter wären ein Haftungsrisiko.",Konvention,07/2026
Schätzung bei Geräteausfall,"§ 9a Abs. 1 nennt DREI gleichrangige Schätzgrundlagen: (a) Verbrauch der betroffenen Räume in vergleichbaren Zeiträumen, (b) Verbrauch vergleichbarer anderer Räume im jeweiligen Abrechnungszeitraum, (c) Durchschnittsverbrauch des Gebäudes oder der Nutzergruppe. § 9a Abs. 2: überschreitet die geschätzte Fläche 25 % der Gesamtfläche, ist NICHT mehr zu schätzen — dann sind die Kosten ausschließlich nach dem Restkostenmaßstab (§ 7 Abs. 1 S. 5, § 8 Abs. 1) zu verteilen. HARTE GRENZE, Engine muss sie prüfen. Die Kennzeichnung der Schätzung auf der Abrechnung steht NICHT in § 9a — das ist Konvention (Transparenz/Nachvollziehbarkeit § 259 BGB).",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__9a.html,§ 9a Abs. 1 HeizkostenV,Verordnung,07/2026
CO₂-Ausweispflicht des Brennstofflieferanten,"Der Lieferant muss auf der Rechnung ausweisen (§ 3 Abs. 1 Nr. 1–5): (1) Brennstoffemissionen der Lieferung in kg CO₂, (2) den Preisbestandteil der CO₂-Kosten in Euro, (3) den heizwertbezogenen Emissionsfaktor in kg CO₂/kWh, (4) den Energiegehalt der Liefermenge in kWh, (5) einen Hinweis auf die Erstattungsansprüche nach § 6 Abs. 2 und § 8 Abs. 2. Fehlt das, greifen die Fallback-Faktoren (K4). ACHTUNG: „Heizwert"" ist KEINE eigene Pflichtangabe — Nr. 3 verlangt den heizwertbezogenen Emissionsfaktor.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,"§ 3 Abs. 1 Nr. 1–5, Abs. 2 CO2KostAufG (Abs. 2: für Nr. 3 sind die Standardwerte der Rechtsverordnung nach § 7 Abs. 4 Nr. 2 und 4 BEHG = EBeV 2030 zugrunde zu legen)",Gesetz,07/2026
Umlagefähige Betriebskosten der Heizanlage,"Abschließender Katalog des § 7 Abs. 2: (1) Strom, der ZUR WÄRMEERZEUGUNG verbraucht wird (wichtig bei Wärmepumpe), (2) verbrauchte Brennstoffe UND deren Lieferkosten, (3) Betriebsstrom, (4) Bedienung, Überwachung und Pflege der Anlage, (5) regelmäßige Prüfung der Betriebsbereitschaft und -sicherheit einschl. Einstellung durch eine Fachkraft, (6) Reinigung der Anlage UND des Betriebsraumes, (7) Messungen nach dem Bundes-Immissionsschutzgesetz, (8) Anmietung/Gebrauchsüberlassung einer Ausstattung zur Verbrauchserfassung, (9) Verwendung dieser Ausstattung einschl. Eichung, (10) Berechnung, Aufteilung sowie Abrechnungs- und Verbrauchsinformationen gemäß § 6a. Warmwasser: § 8 Abs. 2 verweist für die Wassererwärmung auf § 7 Abs. 2 und ergänzt die Kosten der Wasserversorgung (Verbrauch, Grundgebühren, Zählermiete, Zwischenzähler, hauseigene Versorgungs-/Aufbereitungsanlage einschl. Aufbereitungsstoffe).",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__7.html,§ 7 Abs. 2 HeizkostenV (Wärme); § 8 Abs. 2 HeizkostenV (Warmwasser); § 7 Abs. 4 / § 8 Abs. 4 für Wärme- bzw. Warmwasserlieferung,Verordnung,07/2026
Informationspflichten bei nicht verbrauchsbasierter Abrechnung,"Beruht die Abrechnung nicht auf Verbrauch oder Ablesewerten, sind nur die Angaben nach § 6a Abs. 3 Nr. 2 und 3 zu machen — nicht der volle Katalog.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 5 HeizkostenV,Verordnung,07/2026
Nutzerwechsel im Abrechnungszeitraum,"Zwischenablesung ist der Regelfall. Ohne verwertbare Ablesung: Wärme-Restkosten nach Gradtagszahlen oder zeitanteilig, Warmwasser zeitanteilig. Ganz ohne Ablesung: alles nach dem Restkostenmaßstab.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__9b.html,§ 9b Abs. 1–3 HeizkostenV,Verordnung,07/2026
§ 35a-Block auf der Betriebskostenabrechnung,"Lokara weist den Lohn-/Dienstleistungsanteil nach § 35a EStG immer als eigenen Block aus. Der Anspruch des MIETERS ist gesetzlich; eine Pflicht des VERMIETERS, ihn auf der Betriebskostenabrechnung zu beziffern, gibt es nicht — sie ist verkehrsübliche Praxis. Herleitung zeilenweise: anteil × lohnanteil / gesamtkosten je Kostenposition, dann summieren (nie umgekehrt).",01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21),verify-before-production,27. Juli 2026 20:14,5. August 2026,https://www.gesetze-im-internet.de/estg/__35a.html,§ 35a Abs. 2–3 EStG (Anspruch des Mieters); keine Norm begründet eine Ausweispflicht des Vermieters auf der Abrechnung,Konvention,07/2026
Wording Leerstandsaufstellung,"Die Leerstandsaufstellung darf NIE als „gesetzlich vorgeschrieben"" vermarktet werden — korrektes Wording: „erfüllt Ihre Nachweispflicht gegenüber dem Finanzamt"". Ebenso durchgängig „rechtskonform"", nie „rechtssicher"". Die Aufstellung ist eine freiwillige Form zum Nachweis der fortbestehenden Einkünfteerzielungsabsicht.",01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21),verify-before-production,27. Juli 2026 20:14,5. August 2026,https://www.gesetze-im-internet.de/ao_1977/__90.html,"§§ 9, 21 EStG (Werbungskostenabzug setzt fortbestehende Einkünfteerzielungsabsicht voraus); § 90 AO (Feststellungslast beim Steuerpflichtigen); BFH IX R 68/10. Keine Norm schreibt Form oder Existenz einer Leerstandsaufstellung vor.",Konvention,07/2026
Kürzungsrecht — CO₂-Anteil nicht ausgewiesen,"3 % — der Mieter darf seinen Anteil an den HEIZKOSTEN um 3 Prozent kürzen, wenn der Vermieter den auf ihn entfallenden CO₂-Kostenanteil nicht bestimmt ODER die Pflichtangaben nach § 7 Abs. 3 (Anteil, Einstufung des Gebäudes, Berechnungsgrundlagen) nicht ausweist. Kumuliert mit den beiden 3-%-Rechten aus § 12 Abs. 1 S. 2 und S. 3 HeizkostenV — die Engine muss alle drei getrennt führen.","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,27. Juli 2026 20:14,5. August 2026,https://www.gesetze-im-internet.de/co2kostaufg/__7.html,§ 7 Abs. 4 CO2KostAufG (Wohngebäude); § 8 Abs. 4 CO2KostAufG erklärt § 7 Abs. 3 und 4 für Nichtwohngebäude für entsprechend anwendbar,Gesetz,07/2026
CO₂-Mieteranteil — Pro-rata-Ableitung (D7 Schritt 6),"Der auf den einzelnen Mieter entfallende CO₂-Kostenanteil wird pro rata zu seinem Heizkostenanteil abgeleitet: co2AnteilMieter = round(co2MieterGesamt × heizAnteilMieter / Σ heizAnteilMieter). Zeilenweise round_half_up; der Verteilungsrest landet beim Eigentümer und wird NIE still verteilt. Dass die vier Werte im Referenzobjekt exakt auf co2MieterGesamt aufgehen, ist Zufall, keine Invariante — Drift von ± 1–2 ct ist zulässig.","01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21)",verify-before-production,27. Juli 2026 20:14,5. August 2026,https://www.gesetze-im-internet.de/co2kostaufg/__7.html,"§ 7 Abs. 1 S. 2 CO2KostAufG verlangt die Verteilung „gemäß der Vereinbarung über die Verteilung der Heiz- und Warmwasserkosten auf Grundlage der §§ 6 bis 10 HeizkostenV"" — die konkrete Pro-rata-Formel steht dort nicht und ist unsere Konvention. Der AUSWEIS des Anteils ist dagegen Pflicht (§ 7 Abs. 3), das Kürzungsrecht bei Verstoß folgt aus § 7 Abs. 4.",Konvention,07/2026
AfA-Satz 2 % — Fertigstellung 1925 bis 2022,2 % p. a. (200 bp),03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),geprüft,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 S. 1 Nr. 2 lit. b EStG,Gesetz,07/2026
Zwölftelung im Anschaffungs- bzw. Herstellungsjahr,1/12 je vollem Monat vor dem Anschaffungsmonat,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 1 S. 4 EStG,Gesetz,07/2026
AfA-Satz 3 % — Wirtschaftsgebäude im Betriebsvermögen,3 % p. a. (300 bp),03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 S. 1 Nr. 1 EStG,Gesetz,07/2026
Degressive AfA für Wohngebäude,5 % vom Restwert,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 5a EStG,Gesetz,07/2026
Gesamtnutzungsdauer Ein-/Zweifamilien- und Mehrfamilienhäuser,80 Jahre,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/immowertv,Anlage 1 ImmoWertV 2021,Verordnung,07/2026
Unentgeltlicher Erwerb — AfA-Fortführung (Fußstapfentheorie),Bemessungsgrundlage und Restnutzungsdauer des Rechtsvorgängers,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estdv/11d,§ 11d Abs. 1 EStDV,Verordnung,07/2026
Schuldzinsen als Werbungskosten,"nur Zinsanteil, nie Tilgung",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/9,§ 9 Abs. 1 S. 3 Nr. 1 EStG,Gesetz,07/2026
Bescheidänderung bei rückwirkender 15 %-Überschreitung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/ao/175,"§§ 164, 175 Abs. 1 S. 1 Nr. 2 AO",Gesetz,07/2026
Gestaltungsmissbrauch — Grenze der vertraglichen Kaufpreisaufteilung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/ao/42,§ 42 AO,Gesetz,07/2026
Zwölftelung gilt auch für Gebäude,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,,R 7.4 Abs. 2 EStR,Verordnung,07/2026
"AfA-Satz 2,5 % — Fertigstellung vor 1925","2,5 % p. a. (250 bp)",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),geprüft,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 S. 1 Nr. 2 lit. c EStG,Gesetz,07/2026
Aufteilung nach Nutzfläche bei getrennten Nutzungszusammenhängen,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,,R 4.2 Abs. 4 EStR,Verordnung,07/2026
Nachträgliche AK/HK gelten als zu Jahresbeginn aufgewendet,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,,R 7.4 Abs. 9 EStR,Verordnung,07/2026
Nutzungsdauer-Gutachten — Anforderung an den Sachverständigen,öffentlich bestellt und vereidigt oder zertifiziert,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://www.bundesfinanzministerium.de,"BMF-Schreiben v. 22.02.2023, IV C 3 – S 2196/22/10006 :005",Verordnung,07/2026
Normalherstellungskosten NHK 2010,"€/m² Bruttogrundfläche, Standardstufen 1–5",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/immowertv,ImmoWertV 2021 / NHK 2010,Verordnung,07/2026
Herstellungskosten — Erweiterung und wesentliche Verbesserung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/hgb/255,§ 255 Abs. 2 S. 1 HGB,Gesetz,07/2026
"Grenzsteuersatz — nur Anzeige, nie Berechnungsgrundlage",Default 42 %,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/32a,§ 32a EStG,Gesetz,07/2026
BMF-Arbeitshilfe Kaufpreisaufteilung — Verfahren,typisiertes Sachwertverfahren,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://www.bundesfinanzministerium.de,"BMF, Arbeitshilfe zur Aufteilung eines Gesamtkaufpreises für ein bebautes Grundstück",Verordnung,07/2026
Damnum / Disagio — Verteilung oder Sofortabzug,marktüblich bis 5 % bei Zinsbindung ≥ 5 Jahre,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/11,"§ 11 Abs. 2 S. 3, 4 EStG",Gesetz,07/2026
AfA als Werbungskosten bei Vermietung und Verpachtung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/9,§ 9 Abs. 1 S. 3 Nr. 7 i. V. m. § 21 EStG,Gesetz,07/2026
Anschaffungskosten inklusive Anschaffungsnebenkosten,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/hgb/255,§ 255 Abs. 1 HGB,Gesetz,07/2026
"AfA-Satz 3 % — Wohngebäude, Fertigstellung nach 31.12.2022",3 % p. a. (300 bp),03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),geprüft,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 S. 1 Nr. 2 lit. a EStG,Gesetz,07/2026
Sonderabschreibung Mietwohnungsneubau,"5 % p. a. über 4 Jahre, zusätzlich zur linearen AfA",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7b,§ 7b EStG,Gesetz,07/2026
Anschaffungsnahe Herstellungskosten — 15 %-Grenze,"15 % der Gebäude-AK, netto, innerhalb von 3 Jahren",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),geprüft,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/6,§ 6 Abs. 1 Nr. 1a EStG,Gesetz,07/2026
Kürzere tatsächliche Nutzungsdauer zulässig,AfA = BMG / Restnutzungsdauer,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:35,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 S. 2 EStG,Gesetz,07/2026
10-K14 — Marktüblichkeit des Disagios,bis 5 % des Nominalbetrags bei Zinsbindung ≥ 5 Jahre,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,Verwaltungspraxis zu § 11 Abs. 2 S. 4 EStG — nicht im Gesetz,Konvention,07/2026
Jährlich üblicherweise anfallende Erhaltungsarbeiten — enge Auslegung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,BFH IX R 41/17 v. 09.05.2017 — ZITAT UNSICHER,Rechtsprechung,07/2026
10-K12 — Stichtag im 15 %-Zeitraum ist das Ende der Baumaßnahme,"leistungBis, nicht Rechnungs- oder Zahlungsdatum",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,§ 6 Abs. 1 Nr. 1a EStG stellt auf die Durchführung ab — Auslegung,Konvention,07/2026
"10-K09 — Nutzungswechsel monatsgenau, angefangener Monat zählt voll",zugunsten der Vermietung,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — Analogie zu § 7 Abs. 1 S. 4 EStG,Konvention,07/2026
10-K08 — Flächenmonate als Nenner,Hundertstel-m² × Monat,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — Analogie zu den m²-Tagen der Seite 01,Konvention,07/2026
10-K15 — Grenzsteuersatz-Default für die Ersparnis-Anzeige,42 %,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — reine Anzeige,Konvention,07/2026
Vertragliche Kaufpreisaufteilung ist zugrunde zu legen,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,BFH IX R 12/14 v. 16.09.2015,Rechtsprechung,07/2026
10-K04 — Mindestrestwert bei Alter ≥ Gesamtnutzungsdauer,30 % der indexierten Normalherstellungskosten,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,"keine externe Quelle — aus der BMF-Arbeitshilfe übernommen, Version unbestätigt",Konvention,07/2026
10-K10 — Rundung und Satzdarstellung,round_half_up auf ganze Cent · Sätze als Basispunkte (200/250/300),03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,"keine — Rechenkonvention, identisch zu Seite 01",Konvention,07/2026
"Schönheitsreparaturen zählen in die 15 %-Grenze, keine Segmentierung",—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,"BFH IX R 25/14, IX R 15/15, IX R 22/15 — alle v. 14.06.2016",Rechtsprechung,07/2026
Darlehen kann dem vermieteten Gebäudeteil gezielt zugeordnet werden,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,BFH IX R 2/08 v. 25.03.2009 — ZITAT UNSICHER,Rechtsprechung,07/2026
BMF-Arbeitshilfe ist nicht bindend,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,BFH IX R 26/19 v. 21.07.2020,Rechtsprechung,07/2026
Notarkosten der Grundschuldbestellung sind Finanzierungskosten,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,https://www.bundesfinanzhof.de,BFH IX R 51/00 v. 27.07.2004 — ZITAT UNSICHER,Rechtsprechung,07/2026
10-K06 — Plausibilitätsgrenzen des Gebäudeanteils,< 50 % / > 95 % Hinweis · Abweichung Vertrag↔BMF > 10 pp Warnung,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,"keine — Schwellen gegriffen, nicht abgeleitet",Heuristik,07/2026
"10-K05 — Alterswertminderung linear, Alter in vollen Jahren",(GND − Alter) / GND,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — Vereinfachung gegenüber Anlage 2 ImmoWertV,Konvention,07/2026
10-K01 — Weg B (BMF) ist Default der Kaufpreisaufteilung,—,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,"keine — UX-Entscheidung, Rechtslage wäre Weg A (BFH IX R 12/14)",Konvention,07/2026
"10-K03 — Baupreisindex, keine Interpolation","Basis 2010 = 100, maßgeblich das Jahr des Bewertungsstichtags",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — Umgang mit der BMF-Tabelle,Konvention,07/2026
10-K11 — Schlussjahr-Residuum,Restbuchwert statt gerundetem Jahresbetrag,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — identisch zur Residuumsregel der Seite 01,Konvention,07/2026
"10-K13 — Zinsberechnung 30/360, monatliche Verrechnung",restschuld × sollzinsBp / 120000,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,"keine — reale Kreditverträge rechnen abweichend (act/360, act/365)",Konvention,07/2026
"10-K07 — Vermietungsquote nach Fläche, nicht nach Ertrag",m² Nutzfläche,03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,R 4.2 Abs. 4 EStR nennt kein Verfahren,Konvention,07/2026
